ID,Title,Description,Type,Priority,Status,Component,Tags
BUG-0001,Webhook delivery failures,Webhooks not delivered to /api/payments. Retry mechanism failing. consistently.,Bug,High,Open,Authentication,"frontend, ui"
BUG-0002,Query performance degradation on sessions,SELECT query on sessions taking 10 seconds. Missing index on status. Affects mobile users.,Bug,Medium,In Progress,Database,"security, compliance"
BUG-0003,Infinite scroll not loading more items,Scroll event not triggering pagination. API Gateway stuck after 20 items. Reproducible in production only.,Bug,Critical,Open,Notification Service,"api, integration"
BUG-0004,Admin Panel load time exceeds 5 seconds,Admin Panel page takes 5 seconds to load during peak traffic. Performance bottleneck in Database.,Bug,Low,Closed,Frontend,"api, integration"
BUG-0005,password reset fails with 401 error,Users encounter 401 unauthorized error when attempting password reset. Token validation failing in User Service. Reproducible consistently.,Bug,Medium,Closed,Reporting Module,technical-debt
BUG-0006,API returns 500 for /api/users,/api/users endpoint returns 500 instead of expected 200. Response body: unauthorized. Breaks all users.,Bug,Critical,In Progress,User Service,"backend, service"
BUG-0007,Timeout error on user creation,user creation operation times out after 120 seconds. Database query performance issue. Affects specific customers.,Bug,Medium,Open,User Service,"frontend, ui"
BUG-0008,JSON parsing error in /api/orders,/api/orders fails to parse request body. Error: timeout error. Occurs when using special characters.,Bug,Critical,Deferred,Payment Service,"bug, critical"
BUG-0009,Data inconsistency in transactions,transactions contains duplicate entries for user_id. Unique constraint not enforced. Data integrity issue.,Bug,Critical,Resolved,Reporting Module,"performance, optimization"
BUG-0010,Data inconsistency in transactions,transactions contains duplicate entries for status. Unique constraint not enforced. Data integrity issue.,Bug,Low,Open,Backend,"frontend, ui"
BUG-0011,Database connection pool exhausted,Application runs out of database connections during concurrent users. Connection pool size: 20. Causes service unavailability.,Bug,Critical,Closed,Admin Panel,"performance, optimization"
BUG-0012,Login fails with @ in password,Users cannot authenticate when password contains @. Error message: constraint violation. Affects mobile users.,Bug,Medium,Deferred,Payment Service,feature-request
BUG-0013,Rate limiting not enforced on /api/users,"/api/users accepts unlimited requests, causing degraded performance. No rate limit validation in API Gateway.",Bug,High,Resolved,Backend,"bug, critical"
BUG-0014,Database connection pool exhausted,Application runs out of database connections during batch processing. Connection pool size: 10. Causes degraded performance.,Bug,High,Resolved,Frontend,"bug, critical"
BUG-0015,Timeout error on order processing,order processing operation times out after 10 seconds. Database query performance issue. Affects admin users.,Bug,Critical,In Progress,Frontend,"backend, service"
BUG-0016,Password reset email not sent,Users requesting password reset do not receive email. Email service returns invalid JSON. Affects 10% of users.,Bug,Critical,In Progress,Admin Panel,"performance, optimization"
BUG-0017,Login fails with unicode characters in password,Users cannot authenticate when password contains unicode characters. Error message: unauthorized. Affects all users.,Bug,Critical,In Progress,Backend,"security, compliance"
BUG-0018,API returns 404 for /api/reports,/api/reports endpoint returns 404 instead of expected 200. Response body: internal server error. Breaks all users.,Bug,Medium,In Progress,Frontend,"performance, optimization"
BUG-0019,Navigation menu not responsive on Android,Navigation menu component breaks on Android. Layout issue in Authentication. during peak hours.,Bug,Medium,Open,Authentication,"bug, critical"
